"DATELASTUPDATED","DEFINITION","IDENTIFIER","REFERENCEURL","TITLE","VOCABULARYID"
"2025-04-09 08:11:52.877","","BBD","","Bed and Breakfast District","39"
"2025-04-09 08:11:52.887","","CEM","","Cemetery","39"
"2025-04-09 08:11:52.9","","HLCD","","Certified Local Historic District","39"
"2025-04-09 08:11:52.877","","C100","","Chapter 100","39"
"2025-04-09 08:11:52.88","","C353","","Chapter 353","39"
"2025-04-09 08:11:52.883","","C99","","Chapter 99","39"
"2025-04-09 08:11:52.897","","HCL","","City Landmark","39"
"2025-04-09 08:11:52.897","","HCLD","","City Landmark District","39"
"2025-04-09 08:11:52.89","","CUP","","Community Unit Plan","39"
"2025-04-09 08:11:52.887","","CRTX","","CORTEX","39"
"2025-04-09 08:11:52.893","","FL11","","Flood Plain - 2011","39"
"2025-04-09 08:11:52.893","","FBD","","Form Based District","39"
"2025-04-09 08:11:52.903","","HLD","","Local Historic District","39"
"2025-04-09 08:11:52.907","","HND","","National Historic District","39"
"2025-04-09 08:11:52.907","","HNL","","National Historic Landmark","39"
"2025-04-09 08:11:52.91","","HNR","","National Register Site","39"
"2025-04-09 08:11:52.91","","PARK","","Park","39"
"2025-04-09 08:11:52.917","","PUD","","Planned Unit Development","39"
"2025-04-09 08:11:52.913","","PRD","","Preservation Review District","39"
"2025-04-09 08:11:52.917","","RLFA","","Refuse Leaf Pickup Area","39"
"2025-04-09 08:11:52.92","","SPD","","Signage Overlay Plan District","39"
"2025-04-09 08:11:52.923","","SUD","","Special Use District","39"
"2025-04-09 08:11:52.93","","TOD","","Transit Oriented Development Area","39"
"2025-04-09 08:11:52.927","","TDD","","Transportation Development District","39"