"DATAFORMAT","DATASETID","DATATYPEID","DESCRIPTION","DISTRIBUTIONID","LABEL","NAME","VOCABULARYID"
"","0","115","","189","Assessment Improvements","ASMTIMPROV","0"
"","0","115","","189","Assessment Land","ASMTLAND","0"
"","0","115","","189","Assessment Total","ASMTTOTAL","0"
"","0","110","","189","Assessor Class Code (1)","ASRCLASS1","23"
"","0","110","","189","Assessor Class Code (2)","ASRCLASS2","23"
"","0","110","","189","Assessor Class Code (3)","ASRCLASS3","23"
"","0","110","","189","Assessor Class Code (4)","ASRCLASS4","23"
"","0","110","","189","Assessor Use Code (1)","ASRUSE1","0"
"","0","110","","189","Assessor Use Code (2)","ASRUSE2","0"
"","0","110","","189","Assessor Use Code (3)","ASRUSE3","0"
"","0","110","","189","Assessor Use Code (4)","ASRUSE4","0"
"","0","110","","189","Building 1 Area","BDG1AREA","0"
"","0","110","","189","Building 1 Exterior Wall Code","BDG1EXWALL","0"
"","0","114","","189","Building 1 Year","BDG1YEAR","0"
"","0","110","","189","Book Number","BOOKNUM","0"
"","0","110","","189","Book Page","BOOKPAGE","0"
"","0","114","","189","Daily Date","DAILYDATE","0"
"","0","110","","189","Daily Number","DAILYNUM","0"
"","0","110","","189","Frontage","FRONTAGE","0"
"","0","110","Zero-padded handle identifier for parcels.","189","HANDLE","HANDLE","0"
"","0","110","","189","Land Area","LANDAREA","0"
"","0","110","","189","Land Use (1)","LANDUSE1","24"
"","0","110","","189","Land Use (2)","LANDUSE2","24"
"","0","110","","189","Land Use (3)","LANDUSE3","24"
"","0","110","","189","Land Use (4)","LANDUSE4","24"
"","0","109","","189","Legal Description (1)","LEGAL1","0"
"","0","109","","189","Legal Description (2)","LEGAL2","0"
"","0","109","","189","Legal Description (3)","LEGAL3","0"
"","0","109","","189","Legal Description (4)","LEGAL4","0"
"","0","109","","189","Legal Description (5)","LEGAL5","0"
"","0","110","","189","Number of Buildings","NUMBLDGS","0"
"","0","110","","189","Number of Units","NUMUNITS","0"
"","0","109","Owner's house number and street name mailing address.","189","Owner Address","OWNERADDR","0"
"","0","109","City name portion of owner's registered mailing address.","189","Owner City","OWNERCITY","0"
"","0","109","Owner's country name portion of registered mailing address.","189","Owner Country","OWNERCNTRY","0"
"","0","109","","189","Owner Group","OWNERGROUP","0"
"","0","109","","189","Owner Name","OWNERNAME","0"
"","0","109","","189","Owner Name (2)","OWNERNAME2","0"
"","0","109","Owner's state name portion of registered mailing address","189","Owner State","OWNERSTATE","0"
"","0","109","Owner's zip code portion of registered mailing address","189","Owner Zip","OWNERZIP","0"
"","0","109","","189","Site Address","SITEADDR","0"
"","0","114","","189","UPDATED","UPDATED","0"
"","0","109","""Y"" or ""N""","189","Vacant Land","VACANTLAND","0"
"","0","109","","189","Zoning (1)","ZONING1","53"
"","0","109","","189","Zoning (2)","ZONING2","53"
"","0","109","","189","Zoning (3)","ZONING3","53"